video_url,author,comment,likes,time
https://youtube.com/shorts/oYAnEH0JoqI?si=6ahP2uQo3P6J87nK,@disgustedluigi,"Cool, I was actually considering buying a MacBook finally. Guess that’s not going to happen anymore.",0,5 hari yang lalu
https://youtube.com/shorts/oYAnEH0JoqI?si=6ahP2uQo3P6J87nK,@sjohn5779,Looks like Books are back on the menu bois 😂,0,5 hari yang lalu
https://youtube.com/shorts/oYAnEH0JoqI?si=6ahP2uQo3P6J87nK,@i_llogicalmyth4118,I urge everyone even the Apple fanboy that for some reason we’ll accept anything Apple does please just wanna sit here and raise these prices like crazy. Do not buy it if you don’t need it do not buy it. That’s someone that only gets a new phone every 3 to 5 years maybe it’s time to stretches it to five years plus. Because all these corporations are in my opinion behind the scenes are collaborating together to artificially raising prices.,0,5 hari yang lalu
https://youtube.com/shorts/oYAnEH0JoqI?si=6ahP2uQo3P6J87nK,@ruckusrevolution9475,Darn I should have got a new Mac before this happened,0,5 hari yang lalu
https://youtube.com/shorts/oYAnEH0JoqI?si=6ahP2uQo3P6J87nK,@rayman898,"Looks like the whoop won the battle, all I see him wearing is that",0,5 hari yang lalu
https://youtube.com/shorts/oYAnEH0JoqI?si=6ahP2uQo3P6J87nK,@PhilipBlank,"I regret so much a month ago not ordering an M5 pro, it was on sale and today is $900 more for the exact same item.",0,5 hari yang lalu
https://youtube.com/shorts/oYAnEH0JoqI?si=6ahP2uQo3P6J87nK,@tanaunkok23,"be brave, try alternative, you will be surprise the value you may get",0,5 hari yang lalu
https://youtube.com/shorts/oYAnEH0JoqI?si=6ahP2uQo3P6J87nK,@mugury,Apple 👎👎👎,0,5 hari yang lalu
https://youtube.com/shorts/oYAnEH0JoqI?si=6ahP2uQo3P6J87nK,@Alexanderthetitan,Thanks to ai.,0,5 hari yang lalu
https://youtube.com/shorts/oYAnEH0JoqI?si=6ahP2uQo3P6J87nK,@confidential1035,Holy fuck. Those are big increases. Guess I won’t be getting that new MAC after all.,0,5 hari yang lalu
